SUNo|Cat|SumOfNoPieces
SU2901|De|1.00
SU2901|To|1.00
SU2904|Co|1.00
SU2904|De|1.00
SU2904|To|1.00
SU2905|GS|1.00
SU2909|Co|2.00
SU2909|To|1.00
SU2910|De|1.00
SU2911|De|2.00
SU2913|Co|2.00
SU2913|De|1.00
SU2913|To|2.00
SU2914|Bl|2.00
SU2914|Co|2.00
SU2914|De|1.00
SU2914|GS|1.00
SU2915|Co|4.00
SU2915|De|5.00
SU2919|Bl|2.00
SU2919|Co|1.00
SU2919|De|7.00
SU2920|To|1.00
SU2921|De|3.00
SU2922|Co|1.00
SU2924|To|1.00
SU2925|De|1.00
SU2925|To|1.00
SU2937|Co|1.00
SU2942|Bl|1.00
SU2942|Co|1.00
SU2942|De|1.00
SU2944|Bl|2.00
SU2944|Co|4.00
SU2944|De|1.00
SU2945|Co|2.00
SU2957|GS|1.00
SU2960|Co|1.00
SU2962|Co|2.00
SU2962|De|2.00
SU2962|To|1.00
SU2964|De|1.00
SU2964|To|1.00
SU2965|Co|1.00
SU3006|Co|1.00
SU3008|To|1.00
SU3013|To|1.00
SU3016|To|1.00
SU3018|Co|1.00
SU3018|To|1.00
SU3023|To|1.00
SU3026|Bl|1.00
SU3026|Co|1.00
SU3026|To|2.00
SU3027|Co|2.00
SU3027|De|2.00
SU3027|To|1.00
SU3028|Bl|1.00
SU3028|De|2.00
SU3032|Co|1.00
SU3032|To|1.00
SU3033|Co|1.00
SU3034|Co|2.00
SU3034|To|2.00
SU3035|To|1.00
SU3036|Co|1.00
SU3036|GS|1.00
SU3036|To|3.00
SU3037|Bl|1.00
SU3037|De|1.00
SU3037|To|2.00
SU3038|Bl|1.00
SU3038|GS|1.00
SU3039|Co|1.00
SU3039|De|1.00
SU3039|GS|1.00
SU3041|GS|1.00
SU3045|Bl|1.00
SU3045|Co|1.00
SU3045|GS|1.00
SU3045|To|2.00
SU3046|GS|1.00
SU3046|To|1.00
SU3047|To|2.00
SU3051|To|1.00
SU3053|GS|2.00
SU3053|To|1.00
SU3055|To|1.00
SU3056|Co|1.00
SU3056|To|2.00
SU3057|To|1.00
SU3058|Co|1.00
SU3058|De|2.00
SU3058|To|1.00
SU3059|De|3.00
SU3059|To|1.00
SU3060|Co|2.00
SU3060|To|1.00
SU3061|To|1.00
SU3062|De|1.00
SU3062|GS|1.00
SU3063|To|1.00
SU3064|Co|1.00
SU3067|Bl|1.00
SU3069|GS|1.00
SU3070|To|1.00
SU3073|Co|1.00
SU3073|De|1.00
SU3074|Bl|2.00
SU3074|Co|1.00
SU3074|To|1.00
SU3079|To|1.00
SU3081|To|1.00
SU3083|To|1.00
SU3086|GS|1.00
SU3087|Co|3.00
SU3097|Co|1.00
SU3097|GS|3.00
SU3097|To|1.00
SU3098|GS|1.00
SU3100|De|1.00
SU3100|GS|5.00
SU3200|GS|1.00
