SUNo|GUNo|DenRatio|NLC|Slope|CL|A2
SU1677|GU1657|0.10|29.00|4.00|29.00|942.35
SU1679|GU1659|0.08|1.00|2.00|1.00|1132.92
SU1680|GU1660|0.09|1.00|2.00|1.00|1071.66
SU1687|GU1664|0.33|1.00|3.00|1.00|295.32
SU1688|GU1665|0.57|2.00|3.00|2.00|173.12
SU1690|GU1667|0.50|15.00|3.00|15.00|199.48
SU1691|GU1667|0.49|15.00|3.00|15.00|200.01
SU1692|GU1667|0.18|8.00|3.00|8.00|529.47
SU1693|GU1667|0.20|5.00|3.00|5.00|497.52
SU1694|GU1667|0.87|6.00|3.00|6.00|113.95
SU1695|GU1667|0.22|12.00|3.00|12.00|436.12
SU1696|GU1670|0.52|1.00|4.00|1.00|188.31
SU1697|GU1671|0.17|16.00|2.00|16.00|566.50
SU1698|GU1671|0.24|2.00|2.00|2.00|413.27
SU1699|GU1672|0.35|5.00|6.00|4.00|346.47
SU1700|GU1673|0.31|3.00|2.00|3.00|312.44
SU1702|GU1672|0.26|1.00|6.00|1.00|376.60
SU1703|GU1674|0.19|1.00|4.00|1.00|521.11
SU1706|GU1676|0.21|2.00|2.00|2.00|467.40
SU1707|GU1677|0.25|3.00|2.00|3.00|388.78
SU1708|GU1678|0.31|6.00|3.00|6.00|314.18
SU1709|GU1641|0.44|2.00|3.00|2.00|225.86
SU1908|GU1908|0.11|4.00|3.00|4.00|880.25
SU1911|GU1911|0.07|2.00|2.00|2.00|1277.79
SU1913|GU1913|0.06|1.00|1.00|1.00|1537.97
SU1915|GU1916|0.06|2.00|3.00|2.00|1536.73
SU1920|GU1921|0.06|2.00|5.00|2.00|1479.25
SU2012|GU2102|0.10|1.00|12.00|1.00|891.07
SU2016|GU2013|0.06|4.00|1.00|4.00|1580.78
SU2017|GU2013|0.07|4.00|1.00|4.00|1422.50
SU2024|GU2024|0.14|1.00|5.00|1.00|691.29
SU2027|GU2027|0.15|1.00|1.00|1.00|660.54
SU2028|GU2028|0.21|12.00|0.00|8.00|689.65
SU2029|GU2029|0.32|9.00|0.00|7.00|394.63
SU2030|GU2031|0.16|3.00|1.00|3.00|590.56
SU2031|GU2032|0.12|3.00|1.00|3.00|805.99
SU2033|GU2036|0.20|1.00|1.00|1.00|483.98
SU2034|GU2036|0.12|11.00|1.00|11.00|815.20
SU2037|GU2039|0.09|5.00|3.00|5.00|1073.06
SU2042|GU2046|0.19|2.00|1.00|2.00|524.59
SU2050|GU2053|0.16|2.00|8.00|2.00|614.42
SU2052|GU2053|0.13|1.00|8.00|1.00|718.96
SU2053|GU2055|0.09|1.00|2.00|1.00|1026.47
SU2056|GU2057|0.11|4.00|1.00|4.00|853.93
SU2057|GU2058|0.12|1.00|1.00|1.00|778.44
SU2058|GU2059|0.07|1.00|3.00|1.00|1389.82
SU2064|GU2065|0.12|3.00|1.00|3.00|816.03
SU2066|GU2067|0.12|1.00|1.00|1.00|778.75
SU2068|GU2069|0.09|2.00|5.00|2.00|1082.29
SU2069|GU2070|0.11|4.00|8.00|4.00|832.60
SU2070|GU2070|0.10|3.00|8.00|3.00|921.51
SU2078|GU2033|0.10|1.00|1.00|1.00|948.14
SU2082|GU2084|0.47|1.00|6.00|1.00|209.77
SU2085|GU2085|0.09|3.00|10.00|3.00|1001.44
SU2096|GU2095|0.03|1.00|8.00|1.00|3035.19
SU2104|GU2103|0.13|6.00|5.00|6.00|725.99
