ISZ|SIANo|SUNo|SumOfNoPiece|Tile
Xyliatos|TS02|SU1639|2.00|Tile
Xyliatos|TS02|SU1642|1.00|Tile
Xyliatos|TS02|SU1646|7.00|Tile
Xyliatos|TS02|SU1647|3.00|Tile
Xyliatos|TS02|SU1649|1.00|Tile
Xyliatos|TS02|SU1651|1.00|Tile
Xyliatos|TS10|SU1652|2.00|Tile
Xyliatos|TS10|SU1654|2.00|Tile
Xyliatos|TS10|SU1656|4.00|Tile
Xyliatos|TS10|SU1657|3.00|Tile
Xyliatos|TS10|SU1658|6.00|Tile
Xyliatos|TS10|SU1660|1.00|Tile
Xyliatos|TS10|SU1661|1.00|Tile
Xyliatos|TS10|SU1662|2.00|Tile
Xyliatos|TS10|SU1664|1.00|Tile
Xyliatos|TS10|SU1666|5.00|Tile
Xyliatos||SU1667|1.00|Tile
Xyliatos||SU1669|2.00|Tile
Xyliatos||SU1671|1.00|Tile
Xyliatos|TS10|SU1676|2.00|Tile
Xyliatos|TS10|SU1684|7.00|Tile
Xyliatos|TS10|SU1685|1.00|Tile
Xyliatos|TS10|SU1687|1.00|Tile
Xyliatos|TS10|SU1688|3.00|Tile
Xyliatos|TS10|SU1689|2.00|Tile
Xyliatos|TS02|SU1697|3.00|Tile
Extensive||SU1908|2.00|Tile
Extensive||SU1909|1.00|Tile
Atsas||SU1915|1.00|Tile
Atsas||SU1917|1.00|Tile
Atsas||SU1918|2.00|Tile
Atsas||SU1919|4.00|Tile
Atsas||SU1920|2.00|Tile
Karkotis|TS04|SU2002|5.00|Tile
Karkotis|TS04|SU2003|4.00|Tile
Karkotis|TS04|SU2004|7.00|Tile
Karkotis|TS04|SU2005|2.00|Tile
Karkotis|TS04|SU2007|6.00|Tile
Karkotis|TS04|SU2008|6.00|Tile
Karkotis|TS04|SU2009|4.00|Tile
Karkotis|TS04|SU2010|5.00|Tile
Karkotis|TS04|SU2011|5.00|Tile
Karkotis|TS04|SU2013|2.00|Tile
Karkotis|TS04|SU2014|1.00|Tile
Karkotis|TS04|SU2015|4.00|Tile
Karkotis|TS04|SU2016|2.00|Tile
Karkotis|TS04|SU2017|3.00|Tile
Karkotis|TS04|SU2018|3.00|Tile
Karkotis|TS04|SU2019|3.00|Tile
Karkotis|TS04|SU2020|3.00|Tile
Karkotis|TS04|SU2021|2.00|Tile
Karkotis|TS04|SU2022|1.00|Tile
Karkotis||SU2023|1.00|Tile
Karkotis|TS07|SU2024|2.00|Tile
Karkotis||SU2027|1.00|Tile
Karkotis||SU2028|3.00|Tile
Karkotis||SU2030|3.00|Tile
Karkotis||SU2031|1.00|Tile
Karkotis||SU2032|3.00|Tile
Karkotis||SU2033|5.00|Tile
Karkotis||SU2035|1.00|Tile
Karkotis||SU2046|1.00|Tile
Karkotis||SU2047|1.00|Tile
Karkotis||SU2049|1.00|Tile
Karkotis||SU2050|3.00|Tile
Karkotis||SU2051|2.00|Tile
Karkotis||SU2052|2.00|Tile
Karkotis||SU2054|2.00|Tile
Karkotis||SU2055|1.00|Tile
Karkotis||SU2056|6.00|Tile
Karkotis||SU2058|1.00|Tile
Karkotis||SU2059|1.00|Tile
Karkotis||SU2061|1.00|Tile
Karkotis||SU2062|1.00|Tile
Karkotis||SU2064|5.00|Tile
Karkotis||SU2065|3.00|Tile
Karkotis||SU2066|2.00|Tile
Karkotis||SU2067|1.00|Tile
Karkotis||SU2068|1.00|Tile
Karkotis||SU2069|5.00|Tile
Karkotis||SU2070|5.00|Tile
Karkotis||SU2071|3.00|Tile
Karkotis||SU2072|1.00|Tile
Karkotis||SU2074|1.00|Tile
Karkotis||SU2075|1.00|Tile
Karkotis||SU2076|2.00|Tile
Karkotis|TS06|SU2078|6.00|Tile
Karkotis|TS06|SU2079|4.00|Tile
Karkotis|TS06|SU2080|1.00|Tile
Karkotis|TS06|SU2081|3.00|Tile
Karkotis|TS06|SU2082|1.00|Tile
Karkotis|TS06|SU2085|1.00|Tile
Atsas||SU2107|1.00|Tile
Atsas||SU2112|1.00|Tile
Karkotis|TS15|SU2124|7.00|Tile
Karkotis|TS15|SU2125|2.00|Tile
Karkotis|TS15|SU2126|3.00|Tile
Karkotis|TS15|SU2127|1.00|Tile
Karkotis|TS15|SU2128|18.00|Tile
Karkotis|TS15|SU2129|7.00|Tile
Karkotis|TS15|SU2130|4.00|Tile
Karkotis|TS15|SU2131|1.00|Tile
Karkotis|TS15|SU2132|3.00|Tile
Karkotis|TS15|SU2133|5.00|Tile
Karkotis|TS15|SU2134|6.00|Tile
Karkotis|TS15|SU2135|3.00|Tile
