ISZ|SIANo|SUNo|SumOfNoPiece|ChroTPer
|||28.00|AC
|||21.00|BA
|||1.00|GA
|||14.00|GAC
|||35.00|HA
|||2.00|HEL
|||3.00|HER
|||77.00|HIS
|||1.00|HR
|||5.00|LR
|||9.00|MEDUIII
|||11.00|MEDVOTT
|||172.00|MM
|||11.00|MOD
|||8.00|OTTMODI
|||2.00|OTTMODII
|||99.00|PeB
|||39.00|PoB
|||2.00|PoBAR
|||18.00|ROM
|||5.00|UN
|TS01||2.00|ER
|TS01||102.00|HA
|TS01||43.00|HIS
|TS01||23.00|HR
|TS01||227.00|LR
|TS01||1.00|MOD
|TS01||1.00|MR
|TS01||5.00|RM
|TS01||392.00|ROM
|TS01||3.00|UN
|TS02||56.00|HA
|TS02||2.00|HER
|TS02||64.00|HIS
|TS02||349.00|HR
|TS02||3.00|LHER
|TS02||45.00|LR
|TS02||1.00|MEDB
|TS02||1.00|MEDF
|TS02||1.00|MEDVOTT
|TS02||30.00|MM
|TS02||3.00|MOD
|TS02||17.00|OTTMODII
|TS02||117.00|RM
|TS02||72.00|ROM
|TS02||3.00|UN
|TS03||1.00|HA
|TS03||71.00|MM
|TS03||5.00|MOD
|TS03||21.00|OTTMODII
|TS05||2.00|ER
|TS05||32.00|HA
|TS05||1.00|HEL
|TS05||10.00|HIS
|TS05||6.00|HR
|TS05||1.00|LHER
|TS05||9.00|LR
|TS05||1.00|MM
|TS05||5.00|RM
|TS05||23.00|ROM
|TS05
TS05||26.00|ER
|TS05
TS05||10.00|HR
|TS06||789.00|CHAL
|TS06||1.00|GAC
|TS06||25.00|HA
|TS06||1.00|HEL
|TS06||31.00|HIS
|TS06||179.00|LChPh
|TS06||2.00|LR
|TS06||2.00|MEDF
|TS06||1.00|MEDVOTT
|TS06||5.00|MM
|TS06||5.00|MOD
|TS06||3.00|OTTMODII
|TS06||128.00|PeB
|TS06||1.00|PoBAR
|TS06||3.00|RM
|TS06||1.00|ROM
|TS06||6.00|UN
|TS07||1.00|GAC
|TS07||2.00|HEL
|TS07||74.00|HIS
|TS07||1.00|HR
|TS07||1.00|LHER
|TS07||2.00|LR
|TS07||1.00|MED
|TS07||1.00|MEDF
|TS07||12.00|MEDVOTT
|TS07||61.00|MM
|TS07||55.00|MOD
|TS07||19.00|OTT
|TS07||7.00|OTTMODI
|TS07||67.00|OTTMODII
|TS07||3.00|RM
|TS07||4.00|ROM
|TS07||1.00|UN
|TS08||1.00|MEDVOTT
|TS09||5.00|ER
|TS09||1.00|GAC
|TS09||3.00|HA
|TS09||5.00|HIS
|TS09||4.00|HR
|TS09||1.00|LHER
|TS09||3.00|MM
|TS09||6.00|MOD
|TS09||153.00|PeB
|TS09||1.00|RM
|TS09||3.00|ROM
|TS09||2.00|UN
|TS13||1.00|GAC
|TS13||20.00|HA
|TS13||12.00|HIS
|TS13||8.00|HR
|TS13||8.00|LR
|TS13||1.00|OTTMODI
|TS13||2.00|RM
|TS13||9.00|ROM
|TS14||1.00|HIS
|TS14||1.00|MOD
|TS14||2.00|OTTMODII
|TS14||1.00|RM
|TS15||1.00|BA
|TS15||6.00|ER
|TS15||41.00|GAC
|TS15||387.00|HA
|TS15||231.00|HIS
|TS15||11.00|HR
|TS15||12.00|LHER
|TS15||54.00|LR
|TS15||1.00|MEDB
|TS15||1.00|MEDVOTT
|TS15||2.00|MM
|TS15||4.00|MOD
|TS15||1.00|OTTMODI
|TS15||2.00|PeB
|TS15||13.00|RM
|TS15||109.00|ROM
|TS15||6.00|UN
|TS18||35.00|HA
|TS18||2.00|HIS
|TS18||1.00|HR
|TS18||3.00|LHER
|TS18||35.00|LR
|TS18||1.00|RM
|TS18||19.00|ROM
|TS20||11.00|HA
|TS20||4.00|HIS
|TS20||4.00|HR
|TS20||4.00|LR
|TS20||2.00|MM
|TS20||1.00|RM
|TS20||4.00|ROM
Karkotis|TS11|SU0001|1.00|CLH
Karkotis|TS11|SU0001|9.00|HA
Karkotis|TS11|SU0001|21.00|HIS
Karkotis|TS11|SU0001|1.00|LR
Karkotis|TS11|SU0001|1.00|MEDF
Karkotis|TS11|SU0001|1.00|MEDVOTT
Karkotis|TS11|SU0001|1.00|MOD
Karkotis|TS11|SU0001|4.00|ROM
Karkotis||SU0002|33.00|HA
Karkotis||SU0002|1.00|HER
Karkotis||SU0002|33.00|HIS
Karkotis||SU0002|2.00|HR
Karkotis||SU0002|1.00|LHER
Karkotis||SU0002|16.00|LR
Karkotis||SU0002|1.00|MEDVOTT
Karkotis||SU0002|3.00|MM
Karkotis||SU0002|20.00|MOD
Karkotis||SU0002|1.00|OTTMODI
Karkotis||SU0002|4.00|OTTMODII
Karkotis||SU0002|5.00|ROM
Karkotis|TS11|SU0003|12.00|HA
Karkotis|TS11|SU0003|3.00|HER
Karkotis|TS11|SU0003|39.00|HIS
Karkotis|TS11|SU0003|2.00|HR
Karkotis|TS11|SU0003|1.00|LHER
Karkotis|TS11|SU0003|2.00|LR
Karkotis|TS11|SU0003|2.00|MEDF
Karkotis|TS11|SU0003|6.00|MOD
Karkotis|TS11|SU0003|1.00|OTTMODII
Karkotis|TS11|SU0003|12.00|ROM
Karkotis|TS11|SU0004|2.00|ER
Karkotis|TS11|SU0004|12.00|HA
Karkotis|TS11|SU0004|58.00|HIS
Karkotis|TS11|SU0004|1.00|HR
Karkotis|TS11|SU0004|5.00|LR
Karkotis|TS11|SU0004|1.00|MED
Karkotis|TS11|SU0004|2.00|MOD
Karkotis|TS11|SU0004|1.00|OTTMODII
Karkotis|TS11|SU0004|7.00|ROM
Karkotis|TS11|SU0005|16.00|HA
Karkotis|TS11|SU0005|2.00|HER
Karkotis|TS11|SU0005|25.00|HIS
Karkotis|TS11|SU0005|2.00|LR
Karkotis|TS11|SU0005|1.00|MEDVOTT
Karkotis|TS11|SU0005|3.00|MOD
Karkotis|TS11|SU0005|4.00|ROM
Karkotis|TS11|SU0006|14.00|HA
Karkotis|TS11|SU0006|35.00|HIS
Karkotis|TS11|SU0006|4.00|LR
Karkotis|TS11|SU0006|1.00|MEDF
Karkotis|TS11|SU0006|2.00|MM
Karkotis|TS11|SU0006|6.00|ROM
Karkotis|TS11|SU0007|10.00|HA
Karkotis|TS11|SU0007|39.00|HIS
Karkotis|TS11|SU0007|5.00|LR
Karkotis|TS11|SU0007|1.00|MEDB
Karkotis|TS11|SU0007|1.00|MEDF
Karkotis|TS11|SU0007|1.00|MOD
Karkotis|TS11|SU0007|8.00|ROM
Karkotis||SU0008|15.00|HA
Karkotis||SU0008|13.00|HIS
Karkotis||SU0008|3.00|LR
Karkotis||SU0008|1.00|MEDVOTT
Karkotis||SU0008|4.00|MOD
Karkotis||SU0008|5.00|ROM
Mandres|TS07|SU0009|2.00|HA
Mandres|TS07|SU0009|6.00|HIS
Mandres|TS07|SU0009|9.00|MOD
Mandres|TS07|SU0010|8.00|HIS
Mandres|TS07|SU0010|1.00|LR
Mandres|TS07|SU0010|1.00|MM
Mandres|TS07|SU0010|1.00|MOD
Mandres|TS07|SU0010|1.00|UN
Mandres|TS07|SU0011|27.00|HIS
Mandres|TS07|SU0011|1.00|MEDUIII
Mandres|TS07|SU0011|2.00|MEDVOTT
Mandres|TS07|SU0011|4.00|MOD
Xyliatos|TS02|SU0012|7.00|HA
Xyliatos|TS02|SU0012|53.00|HIS
Xyliatos|TS02|SU0012|8.00|LR
Xyliatos|TS02|SU0012|5.00|MEDVOTT
Xyliatos|TS02|SU0012|7.00|MOD
Xyliatos|TS02|SU0012|1.00|MR
Xyliatos|TS02|SU0012|6.00|ROM
Karkotis|TS11|SU0013|44.00|HIS
Karkotis|TS11|SU0013|3.00|MEDVOTT
Karkotis|TS11|SU0013|6.00|MOD
Karkotis|TS11|SU0013|7.00|OTTMODII
Karkotis|TS11|SU0014|34.00|HIS
Karkotis|TS11|SU0014|3.00|MEDVOTT
Karkotis|TS11|SU0014|1.00|MOD
Karkotis|TS11|SU0014|5.00|OTTMODII
Karkotis|TS11|SU0015|22.00|HIS
Karkotis|TS11|SU0015|1.00|HR
Karkotis|TS11|SU0015|2.00|LR
Karkotis|TS11|SU0015|2.00|MEDVOTT
Karkotis|TS11|SU0015|1.00|MOD
Karkotis|TS11|SU0016|8.00|HA
Karkotis|TS11|SU0016|30.00|HIS
Karkotis|TS11|SU0016|3.00|MEDVOTT
Karkotis|TS11|SU0016|2.00|MOD
Karkotis|TS11|SU0016|3.00|OTTMODII
Karkotis|TS11|SU0016|3.00|ROM
Karkotis|TS11|SU0017|39.00|HIS
Karkotis|TS11|SU0017|1.00|MEDUI
Karkotis|TS11|SU0017|2.00|MEDVOTT
Karkotis|TS11|SU0017|1.00|MM
Karkotis|TS11|SU0017|1.00|MOD
Karkotis|TS11|SU0017|3.00|OTTMODI
Karkotis|TS11|SU0018|19.00|HIS
Karkotis|TS11|SU0018|4.00|MEDF
Karkotis|TS11|SU0018|4.00|MOD
Karkotis|TS11|SU0018|9.00|OTTMODII
Karkotis|TS11|SU0018|6.00|ROM
Karkotis|TS11|SU0019|16.00|HIS
Karkotis|TS11|SU0019|1.00|MEDF
Karkotis|TS11|SU0019|5.00|MEDVOTT
Karkotis|TS11|SU0019|8.00|MOD
Karkotis|TS11|SU0019|1.00|OTT
Karkotis|TS11|SU0019|8.00|OTTMODII
Karkotis|TS11|SU0020|2.00|HA
Karkotis|TS11|SU0020|14.00|HIS
Karkotis|TS11|SU0020|2.00|MEDVOTT
Karkotis|TS11|SU0020|1.00|MM
Karkotis|TS11|SU0020|5.00|OTTMODII
Karkotis||SU0021|1.00|HA
Karkotis||SU0021|5.00|HIS
Karkotis||SU0021|3.00|LR
Karkotis||SU0021|3.00|MEDF
Karkotis||SU0021|2.00|MM
Karkotis||SU0021|2.00|MOD
Karkotis||SU0021|1.00|OTTMODI
Karkotis||SU0021|3.00|OTTMODII
Karkotis||SU0022|3.00|HA
Karkotis||SU0022|45.00|HIS
Karkotis||SU0022|3.00|MEDVOTT
Karkotis||SU0022|3.00|MOD
Karkotis||SU0022|5.00|OTTMODII
Karkotis||SU0023|1.00|ER
Karkotis||SU0023|5.00|HA
Karkotis||SU0023|60.00|HIS
Karkotis||SU0023|2.00|HR
Karkotis||SU0023|1.00|LR
Karkotis||SU0023|6.00|MEDVOTT
Karkotis||SU0023|2.00|MM
Karkotis||SU0023|5.00|MOD
Karkotis||SU0023|1.00|OTTMODI
Karkotis||SU0023|4.00|OTTMODII
Karkotis||SU0024|12.00|HA
Karkotis||Su0024|6.00|HER
Karkotis||SU0024|68.00|HIS
Karkotis||SU0024|1.00|LR
Karkotis||SU0024|2.00|MEDF
Karkotis||SU0024|1.00|MEDUI
Karkotis||SU0024|2.00|MEDVOTT
Karkotis||SU0024|1.00|MM
Karkotis||SU0024|18.00|MOD
Karkotis||SU0024|7.00|OTTMODII
Karkotis||SU0024|1.00|RM
Karkotis||SU0024|1.00|ROM
Karkotis||SU0025|25.00|HIS
Karkotis||SU0025|9.00|MOD
Karkotis||SU0025|2.00|OTT
Karkotis||SU0025|4.00|OTTMODII
Karkotis||SU0026|2.00|HA
Karkotis||SU0026|9.00|HIS
Karkotis||SU0026|1.00|MEDF
Karkotis||SU0026|2.00|MEDVOTT
Karkotis||SU0026|12.00|MOD
Karkotis||SU0026|2.00|OTTMODII
Karkotis||SU0027|4.00|HIS
Karkotis||SU0027|2.00|MM
Karkotis||SU0027|20.00|MOD
Karkotis||SU0027|3.00|OTTMODII
Karkotis||SU0027|1.00|RM
Karkotis||SU0028|12.00|HIS
Karkotis||SU0028|2.00|LHER
Karkotis||SU0028|1.00|MEDVOTT
Karkotis||SU0028|6.00|MOD
Karkotis||SU0028|5.00|OTTMODII
Karkotis||SU0029|11.00|HIS
Karkotis||SU0029|5.00|MOD
Karkotis||SU0029|2.00|OTTMODII
Karkotis||SU0029|1.00|RM
Karkotis||SU0029|1.00|ROM
Karkotis||SU0030|3.00|HIS
Karkotis||SU0030|3.00|MOD
Karkotis||SU0030|2.00|OTTMODII
Karkotis||SU0031|3.00|HA
Karkotis||SU0031|67.00|HIS
Karkotis||SU0031|6.00|LR
Karkotis||SU0031|1.00|MEDUIII
Karkotis||SU0031|8.00|MEDVOTT
Karkotis||SU0031|35.00|MOD
Karkotis||SU0031|1.00|OTTMODI
Karkotis||SU0031|10.00|OTTMODII
Karkotis||SU0032|2.00|GAC
Karkotis||SU0032|7.00|HA
Karkotis||SU0032|2.00|HEL
Karkotis||SU0032|69.00|HIS
Karkotis||SU0032|4.00|MEDF
Karkotis||SU0032|1.00|MEDUIII
Karkotis||SU0032|9.00|MEDVOTT
Karkotis||SU0032|15.00|MOD
Karkotis||SU0032|3.00|OTT
Karkotis||SU0032|15.00|OTTMODII
Karkotis||SU0032|3.00|PeB
Karkotis||SU0032|2.00|PoB
Karkotis||SU0032|1.00|UN
Karkotis||SU0033|1.00|HEL
Karkotis||SU0033|40.00|HIS
Karkotis||SU0033|2.00|LR
Karkotis||SU0033|1.00|MEDOTT
Karkotis||SU0033|2.00|MM
Karkotis||SU0033|8.00|MOD
Karkotis||SU0033|7.00|OTT
Karkotis||SU0033|13.00|OTTMODII
Karkotis||SU0034|1.00|HA
Karkotis||SU0034|6.00|HIS
Karkotis||SU0034|2.00|MOD
Karkotis||SU0035|3.00|HIS
Karkotis||SU0035|1.00|HR
Karkotis||SU0035|1.00|LR
Karkotis||SU0036|2.00|HIS
Karkotis||SU0036|6.00|MOD
Karkotis||SU0036|1.00|OTT
Karkotis||SU0036|2.00|OTTMODII
Karkotis||SU0037|4.00|HIS
Karkotis||SU0037|2.00|MEDVOTT
Karkotis||SU0037|4.00|MOD
Karkotis||SU0037|3.00|OTTMODII
Karkotis||SU0038|10.00|HIS
Karkotis||SU0038|3.00|MEDVOTT
Karkotis||SU0038|6.00|MOD
Karkotis||SU0038|6.00|OTTMODII
Karkotis||SU0039|1.00|HIS
Karkotis||SU0039|11.00|MOD
||SU0040|1.00|HA
||SU0040|58.00|HIS
||SU0040|1.00|LR
||SU0040|8.00|MOD
||SU0040|1.00|OTTMODI
||SU0040|2.00|OTTMODII
||SU0040|1.00|RM
Karkotis||SU0041|1.00|GAC
Karkotis||SU0041|1.00|HA
Karkotis||SU0041|79.00|HIS
Karkotis||SU0041|2.00|HR
Karkotis||SU0041|3.00|MEDVOTT
Karkotis||SU0041|3.00|MOD
Karkotis||SU0041|8.00|OTTMODII
Karkotis||SU0041|3.00|ROM
||SU0042|1.00|HIS
||SU0043|1.00|GAC
||SU0043|1.00|HA
||SU0043|1.00|HEL
||SU0043|72.00|HIS
||SU0043|2.00|MEDVOTT
||SU0043|1.00|MM
||SU0043|9.00|MOD
||SU0043|1.00|OTT
||SU0043|1.00|OTTMODI
||SU0043|14.00|OTTMODII
Karkotis||SU0044|34.00|HIS
Karkotis||SU0044|2.00|MEDF
Karkotis||SU0044|4.00|MEDVOTT
Karkotis||SU0044|11.00|MOD
Karkotis||SU0044|7.00|OTTMODII
||SU0045|65.00|HIS
||SU0045|1.00|HR
||SU0045|1.00|LHER
||SU0045|19.00|MEDVOTT
||SU0045|2.00|MM
||SU0045|12.00|MOD
||SU0045|2.00|OTT
||SU0045|8.00|OTTMODII
||SU0046|60.00|HIS
||SU0046|26.00|MEDVOTT
||SU0046|9.00|MOD
||SU0046|2.00|OTTMODI
||SU0046|11.00|OTTMODII
Karkotis||SU0047|6.00|HA
Karkotis||SU0047|1.00|HEL
Karkotis||SU0047|95.00|HIS
Karkotis||SU0047|1.00|LHER
Karkotis||SU0047|2.00|LR
Karkotis||SU0047|2.00|MEDF
Karkotis||SU0047|4.00|MEDVOTT
Karkotis||SU0047|1.00|MOD
Karkotis||SU0048|1.00|HA
Karkotis||SU0048|29.00|HIS
Karkotis||SU0048|9.00|OTTMODII
||SU0049|60.00|HIS
||SU0049|2.00|MEDF
||SU0049|7.00|MEDVOTT
||SU0049|10.00|MOD
||SU0049|6.00|OTTMODII
Karkotis||SU0050|9.00|HIS
Karkotis||SU0050|3.00|MEDVOTT
Karkotis||SU0050|2.00|MOD
Karkotis||SU0050|4.00|OTTMODII
Karkotis||SU0051|11.00|HIS
Karkotis||SU0051|1.00|MEDF
Karkotis||SU0051|20.00|MEDVOTT
Karkotis||SU0051|13.00|MM
Karkotis||SU0051|19.00|MOD
Karkotis||SU0051|2.00|OTT
Karkotis||SU0051|1.00|OTTMODII
Karkotis||SU0052|6.00|HA
Karkotis||SU0052|56.00|HIS
Karkotis||SU0052|1.00|LR
Karkotis||SU0052|2.00|MEDOTT
Karkotis||SU0052|1.00|MEDUI
Karkotis||SU0052|8.00|MEDVOTT
Karkotis||SU0052|6.00|MOD
Karkotis||SU0052|1.00|OTTMODII
Karkotis||SU0052|1.00|PeB
Karkotis||SU0052|3.00|ROM
||SU0053|2.00|HIS
||SU0053|8.00|MEDVOTT
||SU0053|20.00|MM
||SU0053|19.00|MOD
||SU0053|1.00|OTTMODI
||SU0053|1.00|UN
||SU0054|16.00|HIS
||SU0054|1.00|MEDUIII
||SU0054|5.00|MEDVOTT
||SU0054|36.00|MM
||SU0054|20.00|MOD
||SU0054|1.00|OTT
||SU0054|8.00|OTTMODII
||SU0054|1.00|UN
||SU0055|1.00|MOD
||SU0058|1.00|MOD
Karkotis||SU0060|3.00|HA
Karkotis||SU0060|32.00|HIS
Karkotis||SU0060|2.00|LHER
Karkotis||SU0060|2.00|LR
Karkotis||SU0060|6.00|MEDF
Karkotis||SU0060|11.00|MEDVOTT
Karkotis||SU0060|39.00|MM
Karkotis||SU0060|18.00|MOD
Karkotis||SU0060|4.00|OTT
Karkotis||SU0060|1.00|OTTMODI
Karkotis||SU0060|1.00|RM
Karkotis||SU0061|4.00|HA
Karkotis||SU0061|18.00|HIS
Karkotis||SU0061|1.00|LR
Karkotis||SU0061|1.00|MEDF
Karkotis||SU0061|1.00|MEDUI
Karkotis||SU0061|2.00|MEDVOTT
Karkotis||SU0061|1.00|MM
Karkotis||SU0061|2.00|MOD
Karkotis||SU0061|3.00|OTTMODII
Karkotis||SU0062|4.00|HA
Karkotis||SU0062|9.00|HIS
Karkotis||SU0062|1.00|MEDUI
Karkotis||SU0062|1.00|MEDVOTT
Karkotis||SU0062|11.00|MM
Karkotis||SU0062|6.00|MOD
Karkotis||SU0063|2.00|ER
Karkotis||SU0063|3.00|HA
Karkotis||SU0063|35.00|HIS
Karkotis||SU0063|1.00|LHER
Karkotis||SU0063|8.00|MOD
Karkotis||SU0064|1.00|GAC
Karkotis||SU0064|4.00|HA
Karkotis||SU0064|1.00|HEL
Karkotis||SU0064|27.00|HIS
Karkotis||SU0064|1.00|HR
Karkotis||SU0064|4.00|MOD
Karkotis||SU0064|1.00|OTTMODII
Karkotis||SU0065|2.00|HIS
Karkotis||SU0065|2.00|MOD
Karkotis||SU0066|1.00|HA
Karkotis||SU0066|26.00|HIS
Karkotis||SU0066|5.00|MEDVOTT
Karkotis||SU0066|1.00|MM
Karkotis||SU0066|14.00|MOD
Karkotis||SU0066|7.00|OTTMODII
Karkotis||SU0067|2.00|HA
Karkotis||SU0067|1.00|HEL
Karkotis||SU0067|26.00|HIS
Karkotis||SU0067|6.00|MEDVOTT
Karkotis||SU0067|5.00|MOD
Karkotis||SU0067|16.00|OTTMODII
Karkotis||SU0067|1.00|ROM
Karkotis||SU0068|1.00|HA
Karkotis||SU0068|20.00|HIS
Karkotis||SU0068|2.00|MEDF
Karkotis||SU0068|1.00|MEDVOTT
Karkotis||SU0068|22.00|MM
Karkotis||SU0068|6.00|OTTMODII
Karkotis||SU0069|1.00|ER
Karkotis||SU0069|23.00|HIS
Karkotis||SU0069|1.00|LR
Karkotis||SU0069|7.00|MEDF
Karkotis||SU0069|15.00|MEDVOTT
Karkotis||SU0069|25.00|MM
Karkotis||SU0069|2.00|MOD
Karkotis||SU0069|5.00|OTTMODII
Karkotis||SU0070|8.00|HIS
Karkotis||SU0070|1.00|HR
Karkotis||SU0070|2.00|MEDVOTT
Karkotis||SU0070|18.00|MM
Karkotis||SU0070|2.00|MOD
Karkotis||SU0070|5.00|OTTMODII
Karkotis|TS09|SU0071|2.00|MOD
Karkotis|TS09|SU0072|1.00|HIS
Karkotis|TS09|SU0072|3.00|MOD
Karkotis|TS09|SU0073|1.00|MM
Karkotis|TS09|SU0073|34.00|PeB
Karkotis|TS09|SU0074|45.00|PeB
Karkotis|TS09|SU0074|1.00|UN
Karkotis|TS09|SU0075|5.00|PeB
Karkotis|TS09|SU0076|3.00|GAC
Karkotis|TS09|SU0076|14.00|HIS
Karkotis|TS09|SU0076|74.00|PeB
Karkotis|TS09|SU0076|1.00|PoB
Karkotis|TS09|SU0076|2.00|ROM
Karkotis|TS09|SU0077|8.00|HIS
Karkotis|TS09|SU0077|1.00|HR
Karkotis|TS09|SU0077|1.00|LHER
Karkotis|TS09|SU0077|1.00|MM
Karkotis|TS09|SU0077|26.00|PeB
Karkotis|TS09|SU0077|1.00|PoB
Karkotis|TS09|SU0077|1.00|ROM
Karkotis|TS09|SU0078|6.00|GAC
Karkotis|TS09|SU0078|11.00|HIS
Karkotis|TS09|SU0078|1.00|LR
Karkotis|TS09|SU0078|1.00|MM
Karkotis|TS09|SU0078|1.00|MOD
Karkotis|TS09|SU0078|116.00|PeB
Karkotis||SU0079|1.00|HIS
Karkotis||SU0079|2.00|MOD
Karkotis||SU0081|3.00|HA
Karkotis||SU0081|52.00|HIS
Karkotis||SU0081|1.00|LR
Karkotis||SU0081|1.00|MED
Karkotis||SU0081|20.00|MEDF
Karkotis||SU0081|1.00|MEDUIII
Karkotis||SU0081|2.00|MEDVOTT
Karkotis||SU0081|44.00|MM
Karkotis||SU0081|18.00|MOD
Karkotis||SU0081|3.00|OTT
Karkotis||SU0081|22.00|OTTMODI
Karkotis||SU0081|1.00|ROM
Karkotis||SU0081|3.00|UN
Karkotis|TS04|SU0082|1.00|GAC
Karkotis|TS04|SU0082|2.00|HA
Karkotis|TS04|SU0082|24.00|HIS
Karkotis|TS04|SU0082|2.00|LHER
Karkotis|TS04|SU0082|1.00|LR
Karkotis|TS04|SU0082|7.00|MEDVOTT
Karkotis|TS04|SU0082|35.00|MM
Karkotis|TS04|SU0082|8.00|MOD
Karkotis|TS04|SU0082|5.00|OTTMODII
Karkotis|TS04|SU0082|1.00|PeB
Karkotis|TS04|SU0082|4.00|ROM
Karkotis|TS04|SU0083|1.00|HA
Karkotis|TS04|SU0083|11.00|HIS
Karkotis|TS04|SU0083|1.00|MEDUIII
Karkotis|TS04|SU0083|3.00|MEDVOTT
Karkotis|TS04|SU0083|10.00|MM
Karkotis|TS04|SU0083|3.00|MOD
Karkotis|TS04|SU0083|3.00|OTTMODII
Karkotis|TS04|SU0083|13.00|RM
Karkotis|TS04|SU0084|1.00|gac
Karkotis|TS04|SU0084|35.00|HIS
Karkotis|TS04|SU0084|3.00|LR
Karkotis|TS04|SU0084|2.00|MEDF
Karkotis|TS04|SU0084|1.00|MEDOTT
Karkotis|TS04|SU0084|1.00|MEDUIII
Karkotis|TS04|SU0084|7.00|MEDVOTT
Karkotis|TS04|SU0084|21.00|MM
Karkotis|TS04|SU0084|23.00|MOD
Karkotis|TS04|SU0084|3.00|OTT
Karkotis|TS04|SU0084|1.00|OTTMODI
Karkotis|TS04|SU0084|15.00|OTTMODII
Karkotis|TS04|SU0084|2.00|ROM
Karkotis||SU0085|4.00|HA
Karkotis||SU0085|1.00|HEL
Karkotis||SU0085|26.00|HIS
Karkotis||SU0085|1.00|HR
Karkotis||SU0085|2.00|LHER
Karkotis||SU0085|2.00|LR
Karkotis||SU0085|1.00|MEDF
Karkotis||SU0085|2.00|MEDVOTT
Karkotis||SU0085|11.00|MM
Karkotis||SU0085|1.00|OTT
Karkotis||SU0085|5.00|ROM
Karkotis|TS11|SU0087|1.00|GAC
Karkotis|TS11|SU0087|17.00|HIS
Karkotis|TS11|SU0087|1.00|MOD
Karkotis|TS11|SU0087|3.00|OTTMODII
Karkotis|TS11|SU0088|3.00|HA
Karkotis|TS11|SU0088|13.00|HIS
Karkotis|TS11|SU0088|2.00|LR
Karkotis|TS11|SU0088|8.00|MEDVOTT
Karkotis|TS11|SU0088|2.00|MOD
Karkotis|TS11|SU0088|4.00|OTTMODI
Karkotis|TS11|SU0088|4.00|OTTMODII
Karkotis|TS11|SU0089|1.00|HA
Karkotis|TS11|SU0089|11.00|HIS
Karkotis|TS11|SU0089|1.00|LHER
Karkotis|TS11|SU0089|1.00|MEDVOTT
Karkotis|TS11|SU0089|5.00|MOD
Karkotis|TS11|SU0089|8.00|OTTMODII
Karkotis|TS11|SU0090|3.00|HA
Karkotis|TS11|SU0090|7.00|HIS
Karkotis|TS11|SU0090|1.00|MEDOTT
Karkotis|TS11|SU0090|4.00|OTTMODII
Karkotis|TS11|SU0091|9.00|HIS
Karkotis|TS11|SU0091|2.00|LR
Karkotis|TS11|SU0091|5.00|MOD
Karkotis|TS11|SU0091|8.00|OTTMODII
Karkotis|TS11|SU0091|2.00|PeB
Karkotis|TS11|SU0092|13.00|HIS
Karkotis|TS11|SU0092|1.00|MEDOTT
Karkotis|TS11|SU0092|4.00|MOD
Karkotis|TS11|SU0092|6.00|OTTMODII
Karkotis|TS11|SU0093|10.00|HIS
Karkotis|TS11|SU0093|1.00|MEDF
Karkotis|TS11|SU0093|7.00|MM
Karkotis|TS11|SU0093|3.00|MOD
Karkotis|TS11|SU0093|4.00|OTTMODII
Karkotis|TS11|SU0093|1.00|ROM
Karkotis|TS11|SU0094|1.00|GAC
Karkotis|TS11|SU0094|17.00|HA
Karkotis|TS11|SU0094|69.00|HIS
Karkotis|TS11|SU0094|13.00|LR
Karkotis|TS11|SU0094|3.00|MED
Karkotis|TS11|SU0094|4.00|MEDVOTT
Karkotis|TS11|SU0094|31.00|OTTMODII
Karkotis|TS11|SU0094|1.00|PeB
Karkotis|TS11|SU0095|5.00|HA
Karkotis|TS11|SU0095|1.00|HER
Karkotis|TS11|SU0095|37.00|HIS
Karkotis|TS11|SU0095|1.00|HR
Karkotis|TS11|SU0095|1.00|LR
Karkotis|TS11|SU0095|3.00|MEDF
Karkotis|TS11|SU0095|4.00|MEDVOTT
Karkotis|TS11|SU0095|13.00|MM
Karkotis|TS11|SU0095|7.00|MOD
Karkotis|TS11|SU0095|1.00|OTT
Karkotis|TS11|SU0095|1.00|OTTMODI
Karkotis|TS11|SU0095|16.00|OTTMODII
Karkotis|TS11|SU0095|3.00|ROM
Karkotis|TS11|SU0096|66.00|HIS
Karkotis|TS11|SU0096|11.00|HR
Karkotis|TS11|SU0096|1.00|LHER
Karkotis|TS11|SU0096|4.00|LR
Karkotis|TS11|SU0096|4.00|MEDVOTT
Karkotis|TS11|SU0096|1.00|MM
Karkotis|TS11|SU0096|7.00|MOD
Karkotis|TS11|SU0096|1.00|OTT
Karkotis|TS11|SU0096|20.00|OTTMODII
Karkotis|TS11|SU0097|7.00|HA
Karkotis|TS11|SU0097|54.00|HIS
Karkotis|TS11|SU0097|4.00|LR
Karkotis|TS11|SU0097|5.00|MEDVOTT
Karkotis|TS11|SU0097|1.00|MM
Karkotis|TS11|SU0097|1.00|OTT
Karkotis|TS11|SU0097|17.00|OTTMODII
Karkotis|TS11|SU0098|4.00|HA
Karkotis|TS11|SU0098|28.00|HIS
Karkotis|TS11|SU0098|2.00|LR
Karkotis|TS11|SU0098|3.00|MED
Karkotis|TS11|SU0098|1.00|MEDB
Karkotis|TS11|SU0098|1.00|MEDOTT
Karkotis|TS11|SU0098|1.00|OTT
Karkotis|TS11|SU0098|22.00|OTTMODII
Karkotis|TS09|SU0099|1.00|CLH
Karkotis|TS09|SU0099|1.00|GAC
Karkotis|TS09|SU0099|9.00|HA
Karkotis|TS09|SU0099|26.00|HIS
Karkotis|TS09|SU0099|2.00|HR
