ISZ|SIANo|SUNo|SumOfNoPiece|ChroTPer
Xyliatos|TS05|SU2641|4.00|LHER
Xyliatos|TS05|SU2641|9.00|LR
Xyliatos|TS05|SU2641|1.00|RM
Xyliatos|TS05|SU2641|17.00|ROM
Xyliatos|TS05|SU2642|1.00|ER
Xyliatos|TS05|SU2642|25.00|HA
Xyliatos|TS05|SU2642|33.00|HIS
Xyliatos|TS05|SU2642|16.00|HR
Xyliatos|TS05|SU2642|1.00|LHER
Xyliatos|TS05|SU2642|6.00|LR
Xyliatos|TS05|SU2642|2.00|RM
Xyliatos|TS05|SU2642|18.00|ROM
Xyliatos|TS05|SU2643|24.00|HA
Xyliatos|TS05|SU2643|23.00|HIS
Xyliatos|TS05|SU2643|11.00|HR
Xyliatos|TS05|SU2643|4.00|LR
Xyliatos|TS05|SU2643|1.00|MM
Xyliatos|TS05|SU2643|10.00|ROM
Xyliatos|TS05|SU2644|21.00|HA
Xyliatos|TS05|SU2644|4.00|HIS
Xyliatos|TS05|SU2644|1.00|LR
Xyliatos|TS05|SU2644|10.00|ROM
Xyliatos|TS05|SU2645|1.00|ER
Xyliatos|TS05|SU2645|13.00|HA
Xyliatos|TS05|SU2645|9.00|HIS
Xyliatos|TS05|SU2645|7.00|HR
Xyliatos|TS05|SU2645|1.00|LHER
Xyliatos|TS05|SU2645|1.00|LR
Xyliatos|TS05|SU2645|1.00|MM
Xyliatos|TS05|SU2645|1.00|OTTMODII
Xyliatos|TS05|SU2645|3.00|ROM
Xyliatos|TS05|SU2646|5.00|HA
Xyliatos|TS05|SU2646|3.00|HIS
Xyliatos|TS05|SU2646|1.00|HR
Xyliatos|TS05|SU2646|4.00|MOD
Xyliatos|TS05|SU2646|1.00|OTTMODII
Xyliatos|TS05|SU2647|5.00|HA
Xyliatos|TS05|SU2647|6.00|HIS
Xyliatos|TS05|SU2647|1.00|MM
Xyliatos|TS05|SU2647|3.00|MOD
Xyliatos|TS05|SU2647|1.00|OTT
Xyliatos|TS05|SU2647|1.00|OTTMODI
Xyliatos|TS05|SU2647|4.00|ROM
Xyliatos|TS05|SU2648|2.00|ER
Xyliatos|TS05|SU2648|1.00|GAC
Xyliatos|TS05|SU2648|30.00|HA
Xyliatos|TS05|SU2648|16.00|HIS
Xyliatos|TS05|SU2648|19.00|HR
Xyliatos|TS05|SU2648|1.00|LHER
Xyliatos|TS05|SU2648|10.00|LR
Xyliatos|TS05|SU2648|1.00|RM
Xyliatos|TS05|SU2648|10.00|ROM
Xyliatos|TS05|SU2649|1.00|HA
Xyliatos|TS05|SU2649|1.00|HIS
Xyliatos|TS05|SU2649|2.00|HR
Xyliatos|TS05|SU2650|3.00|HA
Xyliatos|TS05|SU2650|2.00|HIS
Xyliatos|TS05|SU2650|1.00|MM
Xyliatos|TS05|SU2651|3.00|HA
Xyliatos|TS05|SU2651|3.00|HIS
Xyliatos|TS05|SU2651|3.00|HR
Xyliatos|TS05|SU2651|1.00|UN
Xyliatos|TS05|SU2652|7.00|HA
Xyliatos|TS05|SU2652|5.00|HIS
Xyliatos|TS05|SU2652|2.00|HR
Xyliatos|TS05|SU2652|1.00|LR
Xyliatos|TS05|SU2652|1.00|MM
Xyliatos|TS05|SU2652|4.00|ROM
Xyliatos|TS05|SU2653|4.00|HA
Xyliatos|TS05|SU2653|2.00|HEL
Xyliatos|TS05|SU2653|25.00|HIS
Xyliatos|TS05|SU2653|9.00|HR
Xyliatos|TS05|SU2653|2.00|LR
Xyliatos|TS05|SU2653|6.00|ROM
Xyliatos|TS05|SU2654|3.00|GAC
Xyliatos|TS05|SU2654|17.00|HA
Xyliatos|TS05|SU2654|21.00|HIS
Xyliatos|TS05|SU2654|4.00|HR
Xyliatos|TS05|SU2654|1.00|LHER
Xyliatos|TS05|SU2654|3.00|ROM
Xyliatos|TS05|SU2655|1.00|ER
Xyliatos|TS05|SU2655|11.00|HA
Xyliatos|TS05|SU2655|2.00|HEL
Xyliatos|TS05|SU2655|19.00|HIS
Xyliatos|TS05|SU2655|4.00|HR
Xyliatos|TS05|SU2655|3.00|LHER
Xyliatos|TS05|SU2655|5.00|ROM
Xyliatos|TS05|SU2656|15.00|HA
Xyliatos|TS05|SU2656|14.00|HIS
Xyliatos|TS05|SU2656|15.00|HR
Xyliatos|TS05|SU2656|1.00|LHER
Xyliatos|TS05|SU2656|7.00|ROM
Xyliatos|TS05|SU2657|2.00|ER
Xyliatos|TS05|SU2657|36.00|HA
Xyliatos|TS05|SU2657|8.00|HEL
Xyliatos|TS05|SU2657|2.00|HER
Xyliatos|TS05|SU2657|16.00|HIS
Xyliatos|TS05|SU2657|14.00|HR
Xyliatos|TS05|SU2657|2.00|LR
Xyliatos|TS05|SU2657|10.00|ROM
Xyliatos|TS05|SU2658|2.00|ER
Xyliatos|TS05|SU2658|1.00|GAC
Xyliatos|TS05|SU2658|12.00|HA
Xyliatos|TS05|SU2658|2.00|HEL
Xyliatos|TS05|SU2658|22.00|HIS
Xyliatos|TS05|SU2658|10.00|HR
Xyliatos|TS05|SU2658|1.00|LR
Xyliatos|TS05|SU2658|1.00|MEDUIII
Xyliatos|TS05|SU2658|5.00|ROM
Xyliatos|TS05|SU2659|1.00|ER
Xyliatos|TS05|SU2659|16.00|HA
Xyliatos|TS05|SU2659|1.00|HEL
Xyliatos|TS05|SU2659|10.00|HIS
Xyliatos|TS05|SU2659|11.00|HR
Xyliatos|TS05|SU2659|4.00|LHER
Xyliatos|TS05|SU2659|3.00|LR
Xyliatos|TS05|SU2659|13.00|ROM
Xyliatos|TS05|SU2660|1.00|ER
Xyliatos|TS05|SU2660|16.00|HA
Xyliatos|TS05|SU2660|7.00|HIS
Xyliatos|TS05|SU2660|7.00|HR
Xyliatos|TS05|SU2660|3.00|LHER
Xyliatos|TS05|SU2660|3.00|LR
Xyliatos|TS05|SU2660|7.00|ROM
Xyliatos||SU2666|1.00|HA
Xyliatos||SU2666|3.00|HIS
Xyliatos||SU2667|1.00|HIS
Xyliatos|TS05
TS05|SU2669|3.00|HA
Xyliatos|TS05
TS05|SU2669|2.00|HIS
Xyliatos|TS05
TS05|SU2669|1.00|MM
Xyliatos|TS05
TS05|SU2669|2.00|MOD
Xyliatos|TS05
TS05|SU2669|1.00|OTTMODII
Xyliatos|TS05
TS05|SU2671|1.00|HIS
Extensive||SU2901|7.00|MM
Extensive||SU2901|2.00|PeB
Extensive||SU2902|1.00|BA
Extensive||SU2903|1.00|MM
Extensive||SU2904|9.00|HIS
Extensive||SU2904|1.00|OTTMODII
Extensive||SU2905|1.00|HIS
Extensive||SU2906|1.00|HIS
Extensive||SU2907|2.00|HA
Extensive||SU2907|2.00|HR
Extensive||SU2907|1.00|OTTMODI
Extensive||SU2908|5.00|HA
Extensive||SU2908|16.00|HIS
Extensive||SU2908|5.00|HR
Extensive||SU2908|1.00|MM
Extensive||SU2908|1.00|OTTMODI
Extensive||SU2908|1.00|ROM
Extensive||SU2909|2.00|HIS
Extensive||SU2909|1.00|RM
Extensive||SU2909|1.00|ROM
Extensive||SU2910|1.00|HA
Extensive||SU2910|1.00|HR
Extensive||SU2914|3.00|HA
Extensive||SU2914|11.00|HIS
Extensive||SU2914|1.00|HR
Extensive||SU2914|3.00|MEDUIII
Extensive||SU2914|2.00|MEDVOTT
Extensive||SU2914|2.00|MM
Extensive||SU2914|10.00|MOD
Extensive||SU2914|3.00|OTT
Extensive||SU2914|1.00|OTTMODI
Extensive||SU2914|9.00|OTTMODII
Extensive||SU2915|4.00|HA
Extensive||SU2915|7.00|HIS
Extensive||SU2915|1.00|HR
Extensive||SU2915|5.00|MM
Extensive||SU2915|6.00|MOD
Extensive||SU2915|1.00|OTTMODI
Extensive||SU2915|1.00|OTTMODII
Extensive||SU2916|1.00|HA
Extensive||SU2916|1.00|HIS
Extensive||SU2916|2.00|HR
Extensive||SU2918|1.00|HA
Extensive||SU2922|1.00|OTTMODII
Extensive||SU2925|2.00|HA
Extensive||SU2925|7.00|HIS
Extensive||SU2925|1.00|MEDUIII
Extensive||SU2925|4.00|MEDVOTT
