ISZ|SIANo|SUNo|Cat|SumOfNoPieces
Mandres||SU3028|De|2.00
Mandres||SU3032|Co|1.00
Koutraphas||SU3033|Co|1.00
Koutraphas||SU3034|Co|2.00
Koutraphas||SU3036|Co|1.00
Koutraphas||SU3037|Bl|1.00
Koutraphas||SU3037|De|1.00
Koutraphas||SU3038|Bl|1.00
Koutraphas||SU3039|Co|1.00
Koutraphas||SU3039|De|1.00
Koutraphas||SU3045|Bl|1.00
Koutraphas||SU3045|Co|1.00
Koutraphas||SU3056|Co|1.00
Koutraphas||SU3058|Co|1.00
Koutraphas||SU3058|De|2.00
Koutraphas||SU3059|De|3.00
Koutraphas||SU3060|Co|2.00
Koutraphas||SU3062|De|1.00
Koutraphas||SU3064|Co|1.00
Koutraphas||SU3067|Bl|1.00
Koutraphas||SU3073|Co|1.00
Koutraphas||SU3073|De|1.00
Koutraphas||SU3074|Bl|2.00
Koutraphas||SU3074|Co|1.00
Koutraphas||SU3087|Co|3.00
Extensive||SU3097|Co|1.00
Extensive||SU3100|De|1.00
