ISZ|SIANo|SUNo|SumOfNoPiece|Func
Karkotis|TS11|SU0089|3.00|TW
Karkotis|TS11|SU0090|6.00|Ar
Karkotis|TS11|SU0090|7.00|HU
Karkotis|TS11|SU0090|1.00|LU
Karkotis|TS11|SU0090|1.00|TW
Karkotis|TS11|SU0091|6.00|Ar
Karkotis|TS11|SU0091|13.00|HU
Karkotis|TS11|SU0091|6.00|LU
Karkotis|TS11|SU0091|1.00|TW
Karkotis|TS11|SU0092|9.00|Ar
Karkotis|TS11|SU0092|11.00|HU
Karkotis|TS11|SU0092|3.00|LU
Karkotis|TS11|SU0092|1.00|TW
Karkotis|TS11|SU0093|7.00|Ar
Karkotis|TS11|SU0093|1.00|CW
Karkotis|TS11|SU0093|9.00|HU
Karkotis|TS11|SU0093|5.00|LU
Karkotis|TS11|SU0093|4.00|TW
Karkotis|TS11|SU0094|9.00|Ar
Karkotis|TS11|SU0094|15.00|CW
Karkotis|TS11|SU0094|47.00|HU
Karkotis|TS11|SU0094|52.00|LU
Karkotis|TS11|SU0094|3.00|Tr
Karkotis|TS11|SU0094|13.00|TW
Karkotis|TS11|SU0095|8.00|Ar
Karkotis|TS11|SU0095|6.00|CW
Karkotis|TS11|SU0095|29.00|HU
Karkotis|TS11|SU0095|34.00|LU
Karkotis|TS11|SU0095|2.00|Tr
Karkotis|TS11|SU0095|14.00|TW
Karkotis|TS11|SU0096|14.00|Ar
Karkotis|TS11|SU0096|11.00|CW
Karkotis|TS11|SU0096|44.00|HU
Karkotis|TS11|SU0096|34.00|LU
Karkotis|TS11|SU0096|12.00|TW
Karkotis|TS11|SU0097|9.00|Ar
Karkotis|TS11|SU0097|6.00|CW
Karkotis|TS11|SU0097|41.00|HU
Karkotis|TS11|SU0097|23.00|LU
Karkotis|TS11|SU0097|9.00|TW
Karkotis|TS11|SU0097|1.00|U
Karkotis|TS11|SU0098|3.00|Ar
Karkotis|TS11|SU0098|2.00|CW
Karkotis|TS11|SU0098|25.00|HU
Karkotis|TS11|SU0098|24.00|LU
Karkotis|TS11|SU0098|8.00|TW
Karkotis|TS09|SU0099|2.00|Ar
Karkotis|TS09|SU0099|11.00|CW
Karkotis|TS09|SU0099|16.00|HU
Karkotis|TS09|SU0099|37.00|LU
Karkotis|TS09|SU0099|1.00|Tr
Karkotis|TS09|SU0099|2.00|TW
Karkotis|TS09|SU0099|1.00|Un
Karkotis|TS09|SU0100|4.00|Ar
Karkotis|TS09|SU0100|5.00|CW
Karkotis|TS09|SU0100|20.00|HU
Karkotis|TS09|SU0100|36.00|LU
Karkotis|TS09|SU0100|2.00|TW
Karkotis|TS09|SU0101|11.00|HU
Karkotis|TS09|SU0101|68.00|LU
Karkotis|TS09|SU0101|7.00|TW
Karkotis|TS09|SU0102|2.00|Ar
Karkotis|TS09|SU0102|13.00|HU
Karkotis|TS09|SU0102|37.00|LU
Karkotis|TS09|SU0102|1.00|TW
Karkotis|TS09|SU0102|1.00|Un
Karkotis|TS09|SU0103|17.00|HU
Karkotis|TS09|SU0103|33.00|LU
Karkotis|TS09|SU0103|5.00|TW
Karkotis|TS09|SU0104|1.00|HU
Karkotis|TS09|SU0104|28.00|LU
Karkotis|TS09|SU0104|8.00|TW
Asinou|TS12|SU0300|1.00|Ar
Asinou|TS12|SU0300|3.00|CW
Asinou|TS12|SU0300|7.00|HU
Asinou|TS12|SU0300|4.00|LU
Asinou|TS12|SU0301|1.00|Ar
Asinou|TS12|SU0301|10.00|CW
Asinou|TS12|SU0301|11.00|HU
Asinou|TS12|SU0301|6.00|LU
Asinou|TS12|SU0301|1.00|TW
Mandres|TS12|SU0302|7.00|HU
Mandres|TS12|SU0302|5.00|LU
Asinou||SU0304|1.00|CW
Asinou||SU0304|2.00|HU
Asinou||SU0304|2.00|LU
Asinou||SU0305|2.00|LU
Asinou||SU0306|1.00|Ar
Asinou||SU0306|3.00|LU
Asinou||SU0307|1.00|CW
Asinou||SU0308|1.00|LU
Asinou||SU0309|10.00|Ar
Asinou||SU0309|1.00|CW
Asinou||SU0309|13.00|HU
Asinou||SU0309|14.00|LU
Asinou||SU0310|1.00|Ar
Asinou||SU0310|3.00|CW
Asinou||SU0310|2.00|LU
Asinou||SU0311|1.00|LU
Asinou||SU0320|1.00|LU
Mandres|TS07|SU0321|1.00|HU
Mandres|TS07|SU0321|2.00|LU
Mandres|TS07|SU0322|4.00|LU
Mandres|TS07|SU0323|1.00|LU
Mandres|TS07|SU0324|1.00|LU
Mandres|TS07|SU0326|1.00|CW
Mandres|TS07|SU0326|2.00|HU
Mandres|TS07|SU0326|1.00|TW
Mandres|TS07|SU0327|3.00|HU
Mandres|TS07|SU0327|1.00|TW
Mandres||SU0328|2.00|LU
Mandres|TS07|SU0330|3.00|LU
Mandres|TS07|SU0331|1.00|CW
Mandres|TS07|SU0331|1.00|TW
Mandres|TS07|SU0332|1.00|LU
Mandres|TS07|SU0334|1.00|TW
Mandres|TS07|SU0336|2.00|LU
Mandres|TS07|SU0337|1.00|LU
Mandres|TS07|SU0338|1.00|HU
Mandres|TS07|SU0340|2.00|LU
Mandres|TS07|SU0341|1.00|HU
Mandres|TS07|SU0342|1.00|LU
Mandres|TS07|SU0344|1.00|Ar
Mandres|TS07|SU0344|2.00|HU
Mandres|TS07|SU0344|8.00|LU
Mandres|TS07|SU0345|11.00|HU
Mandres|TS07|SU0345|7.00|LU
Mandres|TS07|SU0345|2.00|TW
Mandres|TS07|SU0345|2.00|U
Mandres|TS07|SU0345|1.00|Un
Mandres|TS07|SU0346|2.00|Ar
Mandres|TS07|SU0346|19.00|HU
Mandres|TS07|SU0346|8.00|LU
Mandres|TS07|SU0346|3.00|Tr
Mandres|TS07|SU0346|4.00|TW
Mandres|TS07|SU0347|2.00|Ar
Mandres|TS07|SU0347|2.00|CW
Mandres|TS07|SU0347|13.00|HU
Mandres|TS07|SU0347|9.00|LU
Mandres|TS07|SU0347|5.00|TW
Mandres|TS07|SU0348|1.00|CW
Mandres|TS07|SU0348|19.00|HU
Mandres|TS07|SU0348|8.00|LU
Mandres|TS07|SU0348|6.00|TW
Mandres|TS07|SU0349|2.00|Ar
Mandres|TS07|SU0349|2.00|CW
Mandres|TS07|SU0349|10.00|HU
Mandres|TS07|SU0349|5.00|LU
Mandres|TS07|SU0349|1.00|Tr
Mandres|TS07|SU0350|1.00|Ar
Mandres|TS07|SU0350|1.00|CW
Mandres|TS07|SU0350|29.00|HU
Mandres|TS07|SU0350|1.00|LU
Mandres|TS07|SU0350|1.00|TW
Mandres|TS07|SU0351|2.00|Ar
Mandres|TS07|SU0351|2.00|CW
Mandres|TS07|SU0351|15.00|HU
Mandres|TS07|SU0351|6.00|LU
Mandres|TS07|SU0351|5.00|TW
Mandres|TS07|SU0352|3.00|Ar
Mandres|TS07|SU0352|9.00|HU
Mandres|TS07|SU0353|2.00|HU
Mandres|TS07|SU0353|1.00|LU
Mandres|TS07|SU0354|4.00|HU
Mandres|TS07|SU0354|3.00|LU
Mandres|TS07|SU0354|6.00|TW
Asinou|TS08|SU0355|22.00|Ar
Asinou|TS08|SU0355|13.00|CW
Asinou|TS08|SU0355|41.00|HU
Asinou|TS08|SU0355|27.00|LU
Asinou|TS08|SU0355|9.00|TW
Asinou|TS08|SU0356|10.00|Ar
Asinou|TS08|SU0356|8.00|CW
Asinou|TS08|SU0356|11.00|HU
Asinou|TS08|SU0356|7.00|LU
Asinou|TS08|SU0357|12.00|Ar
Asinou|TS08|SU0357|2.00|CW
Asinou|TS08|SU0357|20.00|HU
Asinou|TS08|SU0357|25.00|LU
Asinou|TS08|SU0357|5.00|TW
Asinou|TS08|SU0358|10.00|Ar
Asinou|TS08|SU0358|17.00|HU
Asinou|TS08|SU0358|14.00|LU
Asinou|TS08|SU0358|4.00|TW
Asinou|TS08|SU0359|4.00|Ar
Asinou|TS08|SU0359|8.00|HU
Asinou|TS08|SU0359|10.00|LU
Asinou|TS08|SU0359|1.00|TW
Asinou|TS08|SU0360|4.00|Ar
Asinou|TS08|SU0360|6.00|HU
Asinou|TS08|SU0360|6.00|LU
Asinou|TS08|SU0360|6.00|TW
Asinou|TS08|SU0361|13.00|Ar
Asinou|TS08|SU0361|14.00|HU
Asinou|TS08|SU0361|12.00|LU
Asinou|TS08|SU0361|1.00|Tr
Asinou|TS08|SU0361|1.00|Un
Asinou|TS08|SU0362|1.00|Ar
Asinou|TS08|SU0362|15.00|HU
Asinou|TS08|SU0362|15.00|LU
Asinou|TS08|SU0362|4.00|TW
Asinou|TS08|SU0363|8.00|Ar
Asinou|TS08|SU0363|17.00|HU
Asinou|TS08|SU0363|16.00|LU
Asinou|TS08|SU0363|4.00|TW
Asinou|TS08|SU0364|37.00|Ar
Asinou|TS08|SU0364|2.00|CW
Asinou|TS08|SU0364|20.00|HU
Asinou|TS08|SU0364|20.00|LU
Asinou|TS12|SU0365|2.00|Ar
Asinou|TS12|SU0365|31.00|CW
Asinou|TS12|SU0365|52.00|HU
Asinou|TS12|SU0365|80.00|LU
Asinou|TS12|SU0365|6.00|TW
Asinou|TS12|SU0365|14.00|U
Asinou|TS12|SU0366|3.00|Ar
Asinou|TS12|SU0366|11.00|CW
Asinou|TS12|SU0366|38.00|HU
Asinou|TS12|SU0366|36.00|LU
Asinou|TS12|SU0366|3.00|TW
Asinou|TS12|SU0366|6.00|U
Asinou||SU0370|1.00|LU
Asinou||SU0374|2.00|CW
Asinou|TS12|SU0382|1.00|LU
Asinou||SU0385|6.00|Ar
Asinou||SU0385|1.00|CW
Asinou||SU0385|1.00|HU
Asinou||SU0385|3.00|LU
Asinou|TS12|SU0386|1.00|HU
Asinou|TS12|SU0386|2.00|LU
Asinou||SU0387|1.00|HU
Asinou||SU0387|11.00|LU
Asinou||SU0387|1.00|U
Asinou||SU0391|1.00|HU
Karkotis|TS16|SU0392|2.00|Ar
Karkotis|TS16|SU0392|1.00|CW
Karkotis|TS16|SU0392|15.00|HU
Karkotis|TS16|SU0392|14.00|LU
