ISZ|SIANo|SUNo|SumOfNoPieces|Mat
Xyliatos|TS02|SU0618|1.00|Dia
Xyliatos|TS02|SU0618|1.00|Jas
Xyliatos|TS02|SU0619|4.00|
Xyliatos|TS02|SU0619|2.00|Cha
Xyliatos|TS02|SU0619|1.00|Dia
Xyliatos|TS02|SU0620|2.00|
Xyliatos|TS02|SU0620|1.00|Umb
Xyliatos|TS02|SU0621|1.00|Jas
Xyliatos|TS02|SU0622|4.00|Cha
Xyliatos|TS02|SU0622|2.00|Jas
Xyliatos|TS02|SU0623|1.00|Jas
Xyliatos|TS02|SU0624|1.00|
Xyliatos|TS02|SU0625|1.00|Jas
Xyliatos|TS02|SU0625|1.00|LBa
Xyliatos|TS02|SU0626|2.00|Jas
Xyliatos|TS02|SU0627|1.00|Cha
Xyliatos|TS02|SU0629|1.00|
Xyliatos|TS02|SU0629|2.00|Cha
Xyliatos|TS02|SU0630|1.00|Jas
Xyliatos|TS02|SU0631|1.00|Jas
Xyliatos|TS02|SU0633|1.00|Jas
Xyliatos|TS02|SU0635|1.00|Cha
Xyliatos|TS02|SU0635|1.00|Jas
Xyliatos|TS02|SU0639|1.00|
Xyliatos|TS02|SU0639|2.00|Cha
Xyliatos|TS02|SU0639|2.00|Jas
Xyliatos|TS02|SU0659|3.00|
Xyliatos|TS02|SU0660|2.00|Cha
Xyliatos|TS02|SU0660|1.00|Jas
Xyliatos|TS02|SU0661|2.00|Cha
||SU0703|1.00|LTr
Karkotis|TS11|SU1002|1.00|
Karkotis|TS11|SU1002|5.00|Jas
Karkotis|TS11|SU1003|1.00|Dia
Karkotis|TS11|SU1003|2.00|Jas
Karkotis|TS11|SU1004|4.00|Jas
Karkotis|TS13|SU1006|8.00|Jas
Karkotis|TS13|SU1006|1.00|MGa
Karkotis||SU1007|1.00|
Karkotis||SU1007|1.00|Dia
Karkotis||SU1007|1.00|Pic
Karkotis||SU1009|1.00|Jas
Karkotis||SU1015|2.00|Dia
Karkotis||SU1015|2.00|Jas
Karkotis||SU1016|1.00|Jas
Karkotis||SU1017|1.00|Cha
Karkotis||SU1019|1.00|Jas
Karkotis||SU1021|1.00|Jas
Karkotis||SU1022|1.00|Umb
Karkotis||SU1024|2.00|Jas
Karkotis||SU1025|1.00|Jas
Karkotis||SU1026|1.00|
Karkotis||SU1026|1.00|Jas
Karkotis||SU1029|1.00|Cha
Karkotis||SU1031|1.00|Jas
Karkotis||SU1034|1.00|LTr
Karkotis||SU1035|2.00|Jas
Karkotis||SU1035|1.00|LTr
Karkotis||SU1035|1.00|Obs
Karkotis||SU1036|2.00|Jas
Karkotis||SU1037|1.00|Jas
Karkotis||SU1037|1.00|LTr
Karkotis||SU1038|2.00|Jas
Karkotis||SU1038|1.00|LBa
Karkotis||SU1039|1.00|Jas
Karkotis||SU1039|1.00|LBa
Karkotis||SU1040|1.00|LTr
Karkotis||SU1042|1.00|Jas
Karkotis||SU1042|3.00|Tra
Karkotis||SU1043|1.00|Jas
Karkotis||SU1043|1.00|LBa
Karkotis||SU1043|3.00|LTr
Karkotis||SU1044|2.00|LBa
Karkotis||SU1047|1.00|LTr
Karkotis||SU1048|2.00|Jas
Karkotis||SU1048|1.00|LTr
Karkotis||SU1048|1.00|Mar
Karkotis||SU1049|1.00|Cha
Karkotis||SU1049|1.00|Jas
Karkotis||SU1049|1.00|Mon
Karkotis||SU1049|1.00|Tra
Karkotis|TS09|SU1053|1.00|Jas
Karkotis|TS09|SU1055|1.00|Cha
Karkotis|TS09|SU1055|1.00|Jas
Karkotis|TS09|SU1055|2.00|LBa
Karkotis|TS09|SU1057|1.00|Mon
Karkotis|TS09|SU1058|3.00|Jas
Karkotis|TS09|SU1059|3.00|Jas
Karkotis|TS09|SU1060|1.00|Jas
Karkotis|TS09|SU1060|1.00|Lap
Karkotis|TS09|SU1060|1.00|LBa
Karkotis|TS09|SU1061|8.00|Jas
Karkotis|TS09|SU1062|1.00|Jas
Karkotis|TS09|SU1063|3.00|Jas
Karkotis|TS09|SU1064|1.00|Jas
Karkotis|TS09|SU1067|1.00|
Karkotis|TS13|SU1072|1.00|
Karkotis|TS13|SU1072|2.00|Jas
Karkotis|TS13|SU1073|1.00|Jas
Karkotis|TS13|SU1074|1.00|Cha
Karkotis|TS13|SU1074|2.00|Jas
Karkotis|TS13|SU1074|1.00|SUm
Karkotis|TS13|SU1075|1.00|Jas
Karkotis|TS13|SU1076|4.00|Jas
Karkotis|TS13|SU1077|15.00|Jas
Karkotis|TS13|SU1078|13.00|Jas
Karkotis|TS09|SU1079|1.00|
Karkotis|TS09|SU1092|1.00|CnL
Karkotis|TS09|SU1094|1.00|Jas
Karkotis||SU1096|1.00|
Karkotis|TS09|SU1097|4.00|Dia
Karkotis|TS09|SU1097|1.00|MGa
Karkotis|TS09|SU1098|3.00|Dia
Karkotis|TS09|SU1098|1.00|Jas
Karkotis|TS09|SU1099|10.00|Jas
Karkotis|TS09|SU1099|1.00|LBa
Karkotis|TS09|SU1099|1.00|Mar
Karkotis|TS09|SU1099|1.00|MGa
Karkotis|TS11|SU1302|1.00|Jas
Karkotis|TS11|SU1302|1.00|LBa
Karkotis|TS11|SU1303|2.00|
Karkotis|TS11|SU1303|2.00|Jas
Karkotis|TS11|SU1304|1.00|Jas
Karkotis||SU1305|2.00|
Karkotis||SU1305|4.00|Jas
Karkotis||SU1305|1.00|MGa
Karkotis||SU1306|1.00|
Karkotis||SU1306|7.00|Jas
Karkotis||SU1307|1.00|Dia
Karkotis||SU1307|1.00|Har
Karkotis||SU1307|1.00|Jas
Karkotis||SU1308|3.00|Jas
Karkotis||SU1314|3.00|
Karkotis||SU1315|1.00|Bas
Karkotis||SU1316|1.00|Gyp
Karkotis||SU1316|2.00|Jas
Karkotis||SU1317|1.00|Dia
Karkotis||SU1317|1.00|Jas
Karkotis||SU1317|1.00|Tra
Karkotis||SU1318|1.00|LTD
Karkotis||SU1318|1.00|LTr
Karkotis||SU1319|1.00|Jas
Karkotis||SU1320|1.00|SUm
Karkotis||SU1321|2.00|Jas
Karkotis||SU1322|2.00|Jas
Karkotis||SU1322|1.00|LTr
Karkotis||SU1325|1.00|
Karkotis||SU1326|1.00|Jas
Karkotis||SU1326|2.00|Tra
Koutraphas|TS21|SU1328|3.00|Jas
Koutraphas|TS21|SU1328|1.00|Lap
Koutraphas|TS21|SU1329|1.00|Jas
Koutraphas|TS21|SU1330|5.00|Jas
Koutraphas|TS21|SU1330|2.00|LTr
Koutraphas|TS21|SU1344|1.00|Jas
Koutraphas|TS21|SU1345|1.00|Dia
Koutraphas|TS21|SU1351|1.00|
Koutraphas|TS21|SU1352|2.00|Jas
Mandres||SU1372|1.00|Jas
Mandres||SU1374|1.00|Jas
Mandres|TS07|SU1379|1.00|Jas
Mandres|TS07|SU1380|3.00|Jas
Mandres|TS07|SU1381|1.00|
Mandres|TS07|SU1381|4.00|Jas
Mandres|TS07|SU1381|1.00|LBa
Mandres|TS07|SU1381|2.00|Tra
Mandres|TS07|SU1382|3.00|Jas
Mandres|TS07|SU1383|3.00|Jas
Mandres|TS07|SU1384|1.00|Cha
Karkotis|TS11|SU1602|3.00|
Karkotis|TS11|SU1602|1.00|Dia
Karkotis|TS11|SU1602|2.00|Jas
Karkotis|TS11|SU1604|2.00|Jas
Karkotis|TS11|SU1605|1.00|Dia
Karkotis|TS11|SU1605|1.00|Gab
Karkotis|TS11|SU1605|8.00|Jas
Xyliatos||SU1607|2.00|Jas
Xyliatos||SU1610|1.00|Jas
Xyliatos||SU1611|2.00|
Xyliatos||SU1611|2.00|Dia
Xyliatos||SU1612|2.00|Jas
Xyliatos||SU1613|2.00|Jas
Xyliatos|TS02|SU1620|2.00|
Xyliatos|TS02|SU1621|1.00|
Xyliatos|TS02|SU1621|1.00|Dia
Xyliatos|TS02|SU1622|2.00|
Xyliatos|TS02|SU1623|1.00|Dia
Xyliatos|TS02|SU1623|1.00|Jas
Xyliatos|TS02|SU1623|1.00|MGa
Xyliatos|TS02|SU1624|2.00|LBa
Xyliatos|TS02|SU1625|1.00|MGa
Xyliatos|TS02|SU1625|1.00|Tra
Xyliatos|TS02|SU1626|1.00|LBa
Xyliatos|TS02|SU1627|1.00|Jas
Xyliatos|TS02|SU1629|1.00|Cha
Xyliatos|TS02|SU1629|1.00|Jas
Xyliatos|TS02|SU1630|2.00|
Xyliatos|TS02|SU1630|1.00|SUm
