ISZ|SIANo|SUNo|SumOfNoPieces|TypeChip|Class|Tool
Karkotis||SU2028|1.00|Cha|Fla|Fla
Karkotis||SU2028|1.00|Frg|Fla|Fla
Karkotis||SU2028|1.00|Tes|Fla|Fla
Karkotis||SU2029|1.00|Frg|Fla|Fla
Karkotis||SU2029|1.00|Tes|Fla|Fla
Karkotis||SU2031|1.00|COF|Fla|Fla
Karkotis||SU2031|1.00|Frg|Fla|Fla
Karkotis||SU2031|1.00|Tes|Fla|Fla
Karkotis||SU2034|1.00|Amp|Fla|Fla
Karkotis||SU2034|3.00|Cha|Fla|Fla
Karkotis||SU2056|1.00|Frg|Fla|Fla
Karkotis||SU2056|1.00|Tes|Fla|Fla
Karkotis||SU2064|1.00|Dho|Ret|Dho
Karkotis||SU2068|1.00|Tes|Fla|Fla
Karkotis||SU2069|1.00|Amp|Fla|Fla
Karkotis||SU2069|1.00|Cha|Fla|Fla
Karkotis||SU2069|1.00|Tes|Fla|Fla
Karkotis||SU2070|1.00|Dho|Ret|Dho
Karkotis|TS06|SU2085|1.00|Gen|Uti|Uti
Karkotis|TS06|SU2104|2.00|Cha|Fla|Fla
Karkotis|TS06|SU2104|1.00|COF|Fla|Fla
Karkotis|TS06|SU2104|1.00|Tes|Fla|Fla
Karkotis|TS15|SU2135|1.00|Tes|Fla|Fla
Atsas||SU2151|1.00|Tes|Fla|Fla
Atsas||SU2172|1.00|Gen|Uti|Uti
Atsas||SU2173|1.00|Dho|Ret|Dho
Atsas||SU2173|1.00|Gen|Uti|Uti
Atsas||SU2177|1.00|Amp|Fla|Fla
Atsas||SU2178|1.00|Amp|Fla|Fla
Atsas|TS20|SU2187|1.00|Amp|Fla|Fla
Atsas|TS20|SU2187|1.00|Gen|Uti|Uti
Karkotis|TS09|SU2190|1.00|Frg|Fla|Fla
Koutraphas||SU2385|2.00|Gen|Uti|Uti
Koutraphas||SU2387|2.00|Amp|Fla|Fla
Koutraphas||SU2388|1.00|Tes|Fla|Fla
Koutraphas||SU2389|1.00|Dho|Ret|Dho
Koutraphas||SU2389|1.00|Frg|Fla|Fla
Koutraphas||SU2390|1.00|Amp|Fla|Fla
Xyliatos|TS05|SU2601|4.00|Tes|Fla|Fla
Xyliatos|TS05|SU2602|2.00|Tes|Fla|Fla
Xyliatos|TS05|SU2604|1.00|Amp|Fla|Fla
Xyliatos|TS05|SU2604|1.00|Dho|Ret|Dho
Xyliatos|TS05|SU2605|1.00|Gen|Uti|Uti
Xyliatos|TS05|SU2634|1.00|Gen|Uti|Uti
Xyliatos|TS05|SU2635|1.00|Frg|Fla|Fla
Xyliatos|TS05|SU2641|1.00|Amp|Fla|Fla
Xyliatos|TS05|SU2655|1.00|Alt|Fla|Fla
Extensive||SU2901|1.00|Alt|Fla|Fla
Extensive||SU2901|1.00|Gen|Uti|Uti
Extensive||SU2901|1.00|Tes|Fla|Fla
Extensive||SU2904|1.00|Frg|Fla|Fla
Extensive||SU2904|1.00|Gen|Uti|Uti
Extensive||SU2909|1.00|Frg|Fla|Fla
Extensive||SU2909|1.00|Gen|Uti|Uti
Extensive||SU2909|1.00|Tes|Fla|Fla
Extensive||SU2913|1.00|Amp|Fla|Fla
Extensive||SU2913|1.00|Tes|Fla|Fla
Extensive||SU2914|1.00|Amp|Fla|Fla
Extensive||SU2915|1.00|COF|Fla|Fla
Extensive||SU2915|2.00|Tes|Fla|Fla
Extensive||SU2919|1.00|Amp|Fla|Fla
Extensive||SU2922|1.00|Tes|Fla|Fla
Extensive||SU2924|1.00|Gen|Uti|Uti
Extensive||SU2925|1.00|Dho|Ret|Dho
Extensive||SU2937|1.00|Amp|Fla|Fla
Extensive||SU2942|1.00|Tes|Fla|Fla
Extensive||SU2944|1.00|Amp|Fla|Fla
Extensive||SU2944|3.00|Tes|Fla|Fla
Extensive||SU2945|1.00|Cha|Fla|Fla
Extensive||SU2945|1.00|Tes|Fla|Fla
Extensive||SU2960|1.00|Tes|Fla|Fla
Karkotis|TS11|SU2962|1.00|Abr|Uti|Uti
Karkotis|TS11|SU2962|2.00|Frg|Fla|Fla
Karkotis|TS11|SU2964|1.00|Dho|Ret|Dho
Karkotis|TS11|SU2965|1.00|Tes|Fla|Fla
Mandres||SU3008|1.00|Dho|Ret|Dho
Mandres|TS07|SU3013|1.00|Abr|Uti|Uti
Mandres||SU3018|1.00|Weg|Uti|Uti
Mandres||SU3026|1.00|Amp|Fla|Fla
Mandres||SU3026|1.00|Gen|Uti|Uti
Mandres||SU3027|1.00|Cha|Fla|Fla
Mandres||SU3027|1.00|Frg|Fla|Fla
Mandres||SU3027|1.00|Weg|Uti|Uti
Mandres||SU3032|1.00|Frg|Fla|Fla
Mandres||SU3032|1.00|Gen|Uti|Uti
Koutraphas||SU3033|1.00|Tes|Fla|Fla
Koutraphas||SU3034|1.00|Amp|Fla|Fla
Koutraphas||SU3036|1.00|Dho|Ret|Dho
Koutraphas||SU3037|1.00|Gen|Uti|Uti
Koutraphas||SU3037|1.00|Weg|Uti|Uti
Koutraphas||SU3045|1.00|Tes|Fla|Fla
Koutraphas||SU3046|1.00|Gen|Uti|Uti
Koutraphas||SU3047|2.00|Abr|Uti|Uti
Koutraphas||SU3053|1.00|Gen|Uti|Uti
Koutraphas||SU3055|1.00|Abr|Uti|Uti
Koutraphas||SU3056|1.00|Abr|Uti|Uti
Koutraphas||SU3057|1.00|Gen|Uti|Uti
Koutraphas||SU3058|1.00|Gen|Uti|Uti
Koutraphas||SU3058|1.00|Sin|Fla|Fla
Koutraphas||SU3059|1.00|Gen|Uti|Uti
Koutraphas||SU3060|1.00|Abr|Uti|Uti
Koutraphas||SU3060|1.00|Frg|Fla|Fla
Koutraphas||SU3060|1.00|Tes|Fla|Fla
Koutraphas||SU3061|1.00|Gen|Uti|Uti
Koutraphas||SU3064|1.00|Frg|Fla|Fla
Koutraphas||SU3073|1.00|Tes|Fla|Fla
Koutraphas||SU3074|1.00|Amp|Fla|Fla
Koutraphas||SU3074|1.00|Gen|Uti|Uti
Koutraphas||SU3079|1.00|Dho|Ret|Dho
Koutraphas||SU3081|1.00|Dho|Ret|Dho
Koutraphas||SU3083|1.00|Dho|Ret|Dho
Koutraphas||SU3087|1.00|Dis|Fla|Fla
Koutraphas||SU3087|1.00|Tes|Fla|Fla
Extensive||SU3097|1.00|Amp|Fla|Fla
