ISZ|SIANo|SUNo|SumOfNoPieces|TypeChip|Type
Xyliatos|TS02|SU0661|1.00|Gen|NotDho
||SU0703|1.00|Dho|Dho
Karkotis|TS11|SU1002|1.00||NotDho
Karkotis|TS11|SU1002|1.00|Cav|NotDho
Karkotis|TS11|SU1002|1.00|Ch-2|NotDho
Karkotis|TS11|SU1002|1.00|Cha|NotDho
Karkotis|TS11|SU1002|2.00|Mis|NotDho
Karkotis|TS11|SU1003|1.00||NotDho
Karkotis|TS11|SU1003|1.00|Ch-3|NotDho
Karkotis|TS11|SU1003|1.00|Stp|NotDho
Karkotis|TS11|SU1004|1.00|Dis|NotDho
Karkotis|TS11|SU1004|2.00|Gen|NotDho
Karkotis|TS11|SU1004|1.00|Sid|NotDho
Karkotis|TS13|SU1006|1.00||NotDho
Karkotis|TS13|SU1006|2.00|BlFr|NotDho
Karkotis|TS13|SU1006|1.00|Cha|NotDho
Karkotis|TS13|SU1006|5.00|Dho|Dho
Karkotis||SU1007|3.00||NotDho
Karkotis||SU1009|1.00|Spl|NotDho
Karkotis||SU1015|2.00||NotDho
Karkotis||SU1015|1.00|Chu|NotDho
Karkotis||SU1015|1.00|Dho|Dho
Karkotis||SU1016|1.00|Amp|NotDho
Karkotis||SU1017|1.00|Abr|NotDho
Karkotis||SU1019|1.00|Dir|NotDho
Karkotis||SU1021|1.00|Chu|NotDho
Karkotis||SU1022|1.00||NotDho
Karkotis||SU1024|1.00|Ch-3|NotDho
Karkotis||SU1024|1.00|Dho|Dho
Karkotis||SU1025|1.00|F-2|NotDho
Karkotis||SU1026|1.00||NotDho
Karkotis||SU1026|1.00|BlFr|NotDho
Karkotis||SU1029|1.00|Frg|NotDho
Karkotis||SU1031|1.00|Cha|NotDho
Karkotis||SU1034|1.00|Dho|Dho
Karkotis||SU1035|3.00|Dho|Dho
Karkotis||SU1035|1.00|Gen|NotDho
Karkotis||SU1036|1.00|Amp|NotDho
Karkotis||SU1036|1.00|Gen|NotDho
Karkotis||SU1037|1.00|Dho|Dho
